/,Subsystem List,,,,,,,Skyline Data,,,,,,,,,,,,,,,,,Mechanical,,Piping,,E&I,,,,RCC / Aconex Report Last Week,,,,,,,,,,,,,
/.,Type,System Number,Train,LSU,Subsystem Number,Component Number,Subsystem Name,Baseline,Forecast,Forecast,Diff,Forecast Week,Schedule Flag,Type,HOP Number,PIL,HOP Status ,EST,"Support
(Amman)",Issues (Mechanical), Issues (Piping),Issues (E&I),"PIL
Remark
(Red: critical)","Priority
(1-Mill, 2-Air, 3-OLC2, 4-PRC)",Aconex Status,Aconex Report Date,Aconex Status,Aconex Report Date,Aconex Status,Aconex Report Date,Status,Date,Aconex Report (A - Proceed),Aconex Report Date,,Subsystem Number,Mechanical,Piping,Electrical&Instrument,一,二,三,七冶电气,七冶仪表,,
45,Process,3210-08,BOP,LSU-CC-P-54,3210-08-02,3213-FE-601-M1,Pebble Crusher 6 Belt Feeder Motor,,,,0,,,,,PIL(MCC15),,,,,,,,,,,,,,,,,,,TRUE,3210-08-02,,,,TRUE,TRUE,TRUE,,,,
46,Process,3210-08,BOP,LSU-CC-P-54,3210-08-01,3213-FE-601,Pebble Crusher 6 Belt Feeder,,,,0,,,,,PIL(MCC15),,,,,,,,,,,,,,,,,,,TRUE,3210-08-01,,,,TRUE,TRUE,TRUE,,,,
47,Process,3210-07,BOP,LSU-CC-P-54,3210-07-07,3213-ME-521,Pebble Crusher 5 Discharge Chute Inspection Hatch Hydraulic Actuator,,,,0,,,,,PIL(MCC15),,,,PR2ME-PIL-QTY-59-HOP-3210-07-07,,,,,A - Proceed,2026/4/9,,,,,Partial,2026/4/9,Partial,2026/4/9,TRUE,3210-07-07,PR2ME-PIL-QTY-59-HOP-3210-07-07,,,TRUE,TRUE,TRUE,,,,
48,Process,3210-07,BOP,LSU-CC-P-54,3210-07-06,3213-AX-501/502,Pebble Crusher 5 Lube Air Cooled Exchanger 1 & 2,,,,0,,,,,PIL(MCC15),,,,PR2ME-PIL-QTY-59-HOP-3210-07-06,,,,,A - Proceed,2026/4/15,,,,,Partial,2026/4/15,Partial,2026/4/15,TRUE,3210-07-06,PR2ME-PIL-QTY-59-HOP-3210-07-06,,,TRUE,TRUE,TRUE,,,,
49,Process,3210-07,BOP,LSU-CC-P-54,3210-07-05,3213-HO-505,Pebble Crusher 5 Discharge Hopper,,,,0,,,,,PIL(MCC15),,,,PR2ME-PIL-QTY-59-HOP-3210-07-05,,,,,Issued for Review / Approval,2026/4/19,,,,,,,,,TRUE,3210-07-05,PR2ME-PIL-QTY-59-HOP-3210-07-05,,,TRUE,TRUE,TRUE,,,,
50,Process,3210-07,BOP,LSU-CC-P-54,3210-07-04,3213-LU-501,Pebble Crusher 5 Lubrication Package,,,,0,,,,,PIL(MCC15),,,,,PR2ME-PIL-QTY-50-HOP-LOL-3210-07-04,,,,,,A - Proceed,2026/4/9,,,Partial,2026/4/9,Partial,2026/4/9,TRUE,3210-07-04,,PR2ME-PIL-QTY-50-HOP-LOL-3210-07-04,,TRUE,TRUE,TRUE,,,,
51,,2110,,LSU-CR-P-03,,,Primary Crusher 4,,,,0,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,TRUE,TRUE,,,,
52,Process,3210-07,BOP,LSU-CC-P-54,3210-07-03,3213-HP-501,Pebble Crusher 5 Hydraulic Power Unit,,,,0,,,,,PIL(MCC15),,,,,,,,,,,,,,,,,,,TRUE,3210-07-03,,,,TRUE,TRUE,TRUE,,,,
53,Process,3210-07,BOP,LSU-CC-P-54,3210-07-02,3213-BL-501,Pebble Crusher Countershaft Box Blower & Filter,,,,0,,,,,PIL(MCC15),,,,,,,,,,,,,,,,,,,TRUE,3210-07-02,,,,TRUE,TRUE,TRUE,,,,
54,Process,3210-07,BOP,LSU-CC-P-54,3210-07-01,3213-CR-501,Pebble Crusher 5,,,,0,,,,,PIL(MCC15),,,,,,,,,,,,,,,,,,,TRUE,3210-07-01,,,,TRUE,TRUE,TRUE,,,,
55,Process,3210-06,BOP,LSU-CC-P-54,3210-06-04,3213-MD-504-M1/M2,Pebble Crusher 5 Belt Feeder Retraction Wheel Blocks Drive 1 & 2,,,,0,,,,,PIL(MCC15),,,,,,,,,,,,,,,,,,,TRUE,3210-06-04,,,,TRUE,TRUE,TRUE,,,,
56,Process,3210-06,BOP,LSU-CC-P-54,3210-06-03,3213-MD-501,Pebble Crusher 5 Feeder Metal Detector,,,,0,,,,,PIL(MCC15),,,,PR2ME-PIL-QTY-59-HOP-3210-06-03,,,,,A - Proceed,2026/4/9,,,,,Partial,2026/4/9,Partial,2026/4/9,TRUE,3210-06-03,PR2ME-PIL-QTY-59-HOP-3210-06-03,,,TRUE,TRUE,TRUE,,,,
57,Process,3210-06,BOP,LSU-CC-P-54,3210-06-02,3213-FE-504-M1,Pebble Crusher 5 Belt Feeder Motor,,,,0,,,,,PIL(MCC15),,,,,,,,,,,,,,,,,,,TRUE,3210-06-02,,,,TRUE,TRUE,TRUE,,,,
58,Process,3210-06,BOP,LSU-CC-P-54,3210-06-01,3213-FE-504,Pebble Crusher 5 Belt Feeder,,,,0,,,,,PIL(MCC15),,,,,,,,,,,,,,,,,,,TRUE,3210-06-01,,,,TRUE,TRUE,TRUE,,,,
59,Process,3210-05,BOP,LSU-CC-P-21,3210-05-04,3213-HP-510,Pebble Crusher Feed Bin Isolation Gate Hydraulic Power Unit,16-Mar-2026,20-Apr-2026,16-Mar-2026,-35,17,(D:-35d)(P),MEC,,PIL(MCC15),,TBD,,PR2ME-PIL-QTY-59-HOP-3210-05-04,N/A,"电气：
问题：
计划4月30日现场子系统验收


仪表：N/A",,,A - Proceed,2026/4/16,N/A,,,,Partial,2026/4/16,Partial,2026/4/16,TRUE,3210-05-04,PR2ME-PIL-QTY-59-HOP-3210-05-04,,,TRUE,FALSE,FALSE,,,,
60,Process,3210-05,BOP,LSU-CC-P-21,3210-05-03,3213-GA-510/610/710/810 Vendor Package,Pebble Crusher Feed Bin Isolation Gates,16-Mar-2026,20-Apr-2026,16-Mar-2026,-35,17,(D:-35d)(P),MEC+ELE,,PIL(MCC15),,21-Mar-2026,,PR2ME-PIL-QTY-59-HOP-3210-05-03,N/A,"电气：
计划4月28日子系统现场验收

仪表：N/A（厂家设备）",,,A - Proceed,2026/3/25,N/A,,,,Partial,2026/3/25,Partial,2026/3/25,TRUE,3210-05-03,PR2ME-PIL-QTY-59-HOP-3210-05-03,,,TRUE,FALSE,FALSE,,,,
61,Process,3210-05,BOP,LSU-CC-P-21,3210-05-02,3213-BN-502/601/701/801,Pebble Crusher Feed Bins,16-Mar-2026,20-Apr-2026,16-Mar-2026,-35,17,(D:-35d),MEC+INS,,PIL(MCC15),,25-Mar-2026,,4月2日已提交HOP包（PR2ME-PIL-QTY-59-HOP-3210-05-02）。,N/A,"电气：N/A

仪表：
PR2ME-PIL-QTY-70-HOP-3210-05-02已签字待上传",,,,,N/A,,,,,,,,TRUE,3210-05-02,,,,FALSE,FALSE,FALSE,,,,
62,Process,3210-05,BOP,LSU-CC-P-21,3210-05-01,3213-BN-002,Pebble Crusher 6 & 7 Feed Bin Combined Overflow Bunker,16-Mar-2026,1-Dec-2025,16-Mar-2026,105,49,(G:105d) (C),MEC,,PIL(MCC15),UPLOADED TO ACONEX,,,"PR2ME-3200-PIL-QTY-10-HOP-0001
PR2ME-PIL-QTY-59-HOP-3210-05-01",N/A,N/A,,,A - Proceed,2026/4/20,N/A,,N/A,,Subsystem C1C Ready,2026/4/20,,,TRUE,3210-05-01,"PR2ME-3200-PIL-QTY-10-HOP-0001
PR2ME-PIL-QTY-59-HOP-3210-05-01",,,TRUE,FALSE,FALSE,,,,
